"platform","neighbourhood_id","room_type_id","kitchen","tv","wifi","gym","elevator","fridge","heating","hair_dryer","air_conditioning","hot_tub","oven","bbq","coffee","pool","balcony","furniture","microwave","beds","accommodates","bathrooms","bedrooms","price"
"airbnb",7,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,"3",4,"1","1","82.89"
"airbnb",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,NULL,5,NULL,"2",NULL
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"3",2,"1","1","74.60"
"booking",2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,NULL,NULL,NULL,NULL,"123.7500000000000000"
"airbnb",16,2,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",1,"1","1","19.34"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,"1",2,"1","1","62.63"
"airbnb",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",6,NULL,NULL,"109.60"
"booking",10,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"113.1875000000000000"
"airbnb",20,2,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,NULL,4,NULL,NULL,NULL
"booking",10,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"114.1250000000000000"
"airbnb",11,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"1",2,"1","1","58.02"
"booking",20,2,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"95.6666666666666667"
"airbnb",15,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,5,NULL,"2",NULL
"airbnb",12,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,"2",4,"2","1","69.08"
"airbnb",13,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,"2",2,"1","1","34.08"
"airbnb",21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,4,NULL,"2",NULL
"airbnb",7,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,NULL,6,NULL,"2",NULL
"airbnb",13,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",2,"1","1","55.26"
"booking",4,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,NULL,NULL,NULL,NULL,"138.2500000000000000"
"airbnb",2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,"1",2,"1.5","1","89.34"
"airbnb",3,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"1",2,NULL,"1","55.26"
"airbnb",7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,"1",4,"1.5","1","92.10"
"booking",16,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"98.4375000000000000"
"airbnb",10,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,"3",5,"1","2","184.20"
"booking",15,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"92.4545454545454545"
"airbnb",10,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,"1",2,NULL,"1","41.45"
"airbnb",8,2,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"1",2,"1","1","146.44"
"airbnb",2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"5",6,"1","2","91.18"
"airbnb",2,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,"4",8,"1.5","3","151.04"
"airbnb",22,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,"5",6,"1.5","2","116.05"
"airbnb",19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",3,NULL,NULL,"82.89"
"airbnb",2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",2,"1","1","13.82"
"airbnb",2,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,"3",4,"2","3","371.93"
